Bug-ID,Project,Classification,Summary,Description,Link,Enviroment
177812,Bugzilla,Other,review: Improve performance of duplicates.cgi; Patch v.2,"Gervase Markham <gerv@mozilla.org> has requested review for bug #176599: Improve performance of duplicates.cgi, attachment #104691 [details] [diff] [review]: Patch v.2. http://bugzilla.mozilla.org/attachment.cgi?id=104691&action=edit Additional Comments from Requester: Myk - this is one of the performance fixes to make b.m.o. happier. Gerv",177812,MOZILLA
82245,Core,Other,Takes several reloads for web page to load fully,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Windows; U; Win98; en-US; rv:0.9+) Gecko/20010522 BuildID: 2001052204 It seems to take several reloads of the web page above before the page successfully loads completely if it does it at all. Reproducible: Always Steps to Reproduce: 1. Start mozilla 2. Clear memory/disk cache 3. Go to URL above Actual Results: Page either doesn't render, partially renders or renders successfully Expected Results: Page renders successfully each time",82245,MOZILLA
XALANC-55,XalanC,Other,Access violation in DOMServices::getNamespaceForPrefix (DOMServices.cpp:759),"When I use the XPathEvaluator, reference namespaces in the XPath expression, and pass in the namespace node as the last parameter to selectSingleNode:  XPathEvaluator xEvaluator;  pxNode = xEvaluator.selectSingleNode(theDOMSupport, m_pxNode, ""//xsl:if"", pElem);  I get an access violation in DOMServices.cpp line 759: (theNamepsace is NULL)  while (parent != 0 && length(*theNamespace) == 0 && ((type = parent->getNodeType()) == XalanNode::ELEMENT_NODE  type == XalanNode::ENTITY_REFERENCE_NODE)) --------------- XSL file ------------------ <?xml version=""1.0""?> <xsl:stylesheet xmlns:xsl=""http://www.w3.org/1999/XSL/Transform"" xmlns:ssls=""http://www.epani.com/ssls/ns"" version=""1.0""> <!-- ///////////////////////////////////////////// --> <!-- pageflipper --> <!-- --> <!-- Description --> <!-- Shows a row of links designed to flip the --> <!-- active page showed --> <!-- --> <!-- Parameters --> <!-- pageURL The active URL --> <!-- --> <!-- --> <!-- ///////////////////////////////////////////// --> <ssls:section name=""pageflipper""> <xsl:if test=""count(/root/page/collpages/collpages_Item) > 1""> <xsl:for-each select=""/root/page/collpages/collpages_Item""> <xsl:choose> <xsl:when test=""lstartitem ! = /root/page/lstartitem""> <a> <xsl:attribute name=""href""><ssls:param name=""pageURL""/>sid=<xsl:value-of select=""/root/session/tsid""/>&start=<xsl:value-of select=""lstartitem""/></xsl:attribute> <xsl:value-of select=""position()""/> </a> </xsl:when> <xsl:otherwise> <xsl:value-of select=""position ()""/> </xsl:otherwise> </xsl:choose> <xsl:if test=""position() != last()"">|</xsl:if> </xsl:for-each> </xsl:if> </ssls:section> </xsl:stylesheet> -------------------------------------------",https://issues.apache.org/jira/browse/XALANC-55?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE 
40389,Lenya,Other,"obsolete neutron usecase policy in the default pub,","the default publication contains a policy for a usecase ""neutron"" in config/ac/usecase-policies.xml, which does not exist any more. according to jon@wyona.com, it can be safely removed.",40389,APACHE 
103397,WTP Java EE Tools,Other,Migrate Servlet operation to new data model provider framework,The servlet operation is still on the deprecated data model framework. This needs to be migrated to use data model providers so it can be easily extended.,103397,ECLIPSE
189290,STEM,Other,New warning messages for deprecated code in 3.3RC1,In Eclipse 3.3RC1 they have deprecated the WebAppManager class that the GoogleEarth interface uses to supply servlet support.,189290,ECLIPSE
510092,Papyrus,Other,Remove deprecated class DestructionEventHelperAdvice,Remove the deprecated class plugins/uml/org.eclipse.papyrus.uml.service.types/src/org/eclipse/papyrus/uml/service/types/helper/advice/DestructionEventHelperAdvice the class is deprecated since 2 years and empty.,510092,ECLIPSE
436363,Scout,Other,Deprecate and cleanup ordered bundle list,"Deprecate and cleanup ordered bundle list in ServiceTunnelServlet, DefaultTransactionDelegate and other classes. Use serialization utility instead.",436363,ECLIPSE
32371,Tomcat 5,Other,"Outdated documentation pages,",Adding patch for 5.0.29 as well (bugzilla doesn't allow mutlti selects in that field) Both pages list the wrong Servlet and JSP spec numbers.,32371,APACHE 
WSS-33,WSS4J,Other,Signature checking vulnerability,"Werner Signed Thomas signed-and-encrypted-data Werner Signed Thomas signed-and-encrypted-data was correctly signed by Thomas. Axis then invokes the malicious operation in the real . When the service checks, it thinks that the malicious operation was signed by Thomas. Note that simply ensuring a message has only one element is not sufficient, since often other elements also need to be signed (e.g., endpoint reference types) and there may be many of these. Solution (I will attach a patch shortly): Instead of recording QNames, record the wsu:Id values. Ensure that wsu:Id values are unique. In an additional axis handler, get the wsu:Id of the real element and find a signature with that Id. If multiple elements must be signed, find a single signature over all of them. WSS4J should probably default to checking that the real SOAP body is signed and store its signer on the Axis message context, to provide a secure-by-default configuration.",https://issues.apache.org/jira/browse/WSS-33?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE 
41510,Security - Now in JIRA,Other,"org,apache,xml,security,keys,content,KeyValue,getPublicKey() returns null for DSA key","Method org.apache.xml.security.keys.content.KeyValue.getPublicKey() returns null for DSA based XML signatures. Closer investigation revealed, that line #150 of this class: Element dsa = XMLUtils.selectDsNode(this._constructionElement, Constants._TAG_DSAKEYVALUE,0); should rather look like: Element dsa = XMLUtils.selectDsNode(this._constructionElement.getFirstChild(), Constants._TAG_DSAKEYVALUE,0);",41510,APACHE 
12054,Apache httpd-2,Other,SECURITY: Apache serving 'private' files!,"I have an apache server running on my PC. This is what I found in the log file : 80.15.34.172 - - [24/Aug/2002:12:31:53 +0100] ""GET /scripts/..% 252f../winnt/system32/cmd.exe?/c+dir HTTP/1.0"" 404 263 Just before the full edition of my count in text edition. Every page was listed. I have no /scripts directory on my server, it seems that kind of attack was not risky for an Apache server... Or maybe was it just a bug, the page printed on screen ended down it his file? Does someone know what it is? Thanks DEN",12054,APACHE 
95846,z_Archived,Other,[Security] Test execution does not work with secure RAC,"Our NodeImpl.connect clas does not specify security information, so attempts to connect with a secure RAC always fail. Need to work with profiling team to determine how to properly connect to a secure RAC.",95846,ECLIPSE
105193,z_Archived,Other,[Functionality] Port file transfer service changes (bugzilla 75002) to secure file server,"The improvements to non secure file transfer made in bugzilla 75002 must be extended to secure file transfer. There was a 3.3bug for this, 93734 which is marked WONTFIX. Submitting this for the 4.x stream.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=105193,ECLIPSE
16237,Bugzilla,Other,Store author of comment as user id,"Currently, bugzilla not even holds (real) names. This got into a problem, when I recently changed my email address. Fortunately, dmose was so kind to do this for me, but obviuosly, this system doesn't scale well. The alternative would have been to create a new accout, which would leave defunct ""reporter""s and generate a lot of bug spam. In my case, it's relatively easy to draw a line between ben.bucksch@uumail.de and mozilla@bucksch.org, but it is not always so easy. Sometimes, it's useful to directly address a certain person and py8ieh=bugzilla@bath.ac.uk doesn't sound nice.",16237,MOZILLA
28824,Core,Other,automated security audit of the code,Bruce found an interesting automated source-code auditing tool at <http://www.rstcorp.com/its4/>. We should download this and have someone try running it on Mozilla.,28824,MOZILLA
1386,JMeter,Other,"Broken link to ""Running a test script""","Should be lower case r in running.html, not Running.html. This is the ""Usage"" page, and the link is in the bulleted list at the top. Thanks! Jeff",1386,APACHE 
639,Ant,Other,JUnitTestRunner masks exceptions,"This exception handling code in JUnitTestRunner makes it difficult to track down bugs in code that is being tested: try { Method suiteMethod= testClass.getMethod(""suite"", new Class[0]); suite = (Test)suiteMethod.invoke(null, new Class[0]); } catch(NoSuchMethodException e) { } catch(InvocationTargetException e) { } catch(IllegalAccessException e) { } A crude way to improve this would be: try { Method suiteMethod= testClass.getMethod(""suite"", new Class[0]); suite = (Test)suiteMethod.invoke(null, new Class[0]); } catch(NoSuchMethodException e) { e.printStackTrace( System.out ); } catch(InvocationTargetException e) { e.printStackTrace( System.out ); } catch(IllegalAccessException e) { e.printStackTrace( System.out ); } As an example, I had a class loading problem that was obscured by this exception handling logic. Thanks -David McNeil",639,APACHE 
51596,Fop - Now in Jira,Other,[PATCH] Cleanup and tests to TTFFile (subsetting Glyf),Created attachment 27338 [details] Cleanup and tests This patch cleans up and adds some high level tests for the Glyf subsetting in TTFFile.,51596,APACHE 
36180,Fop - Now in Jira,Other,[PATCH] Test cases for font-family; font-style and font-weight,"Adds showing the font-name, font-style and font-weight attributes to the XML renderer and adds layout engine test cases for font-family, font-style and font-weight. It should be noted that the font information carried in the area tree does not allow unique mapping back into font-style and font-weight. The internal font key kept by FOP can map back into multiple styles/weights. To achieve consistent results for the test cases this patch will output in the XML renderer the first style or weight associated with a font key based on an internal sort.",36180,APACHE 
115102,Community,Other,Presentation Files,Presentation Files. Add to List page and Detail page. To do list: 1. James: design where and what it will look like 1. Max: generates the text and divs,115102,ECLIPSE
83094,z_Archived,Other,Executing a test suite that invokes another test suite in a loop generates erroneous verdict events.,"Executing a test suite that invokes another test suite in a loop generates erroneous verdict events. Using the enclosed test resources, each invocation of the second test suite causes an erroneous inconclusive verdict event to be generated in the execution history (see firsttestsuite.execution) between the start and stop events of the invocation of the second test suite.",83094,ECLIPSE
110930,z_Archived,Other,TestExecutionHarness cleanup enters an infinite wait and prevents from executing further tests,"I have encountered the following problem when working on the new feature described in bugzilla #90625. In you need to reproduce, please email me and I'll commit the broken feature. The problem is: I can run only one test. After the first execution is complete, any attempt to run a second test blocks infinitely (the progress monitor steps until 55%). The blocking call is in org.eclipse.hyades.execution.local.NodeImpl._connect(), when invoking rprocess.launch(): this call never returns. After investigating a bit, it looks like that, after the first execution, there's a thread remaining blocked on the following stack (see attachment). I have also noticed the following comment in TestExecutionHarness: IExecutableObject exeObj = theExecutor.getExecutableObject()",110930,ECLIPSE
114145,z_Archived,Other,Improve GLA testsuites,Add testcases to Monitor.Execution and Monitor.Analysis testsuites. For example: 1) Testcases for Adapter class API 2) Testcases for live monitoring with standalone GLA (rules and static adapters) 3) Testcases using substitutionExtension classes 4) Testcases for the different outputters included in GLA 5) Testcases for the different extractors included in GLA,114145,ECLIPSE
104837,z_Archived,Other,TVT 3.1: TCT 409 - Test Navigator view local dropdown menu 'ToggleLinkingAction.text' label missing,"Switch to Test perspective and open Test Navigator view. Open drop-down menu in the upper right corner of Test Navigator. Second menu item from the bottom reads as 'ToggleLinkingAction.text' (see screencap) while it should probably say 'Link with Editor'. Also, tooltip for Test Navigator toolbar button shows 'ToogleLinkingAction.toolTip'.",104837,ECLIPSE
116999,Calendar,Other,TEST,TESTING,116999,MOZILLA
943524,Firefox,Other,Fix holly after bug 805374 broke tests,No description provided.,https://bugzilla.mozilla.org/show_bug.cgi?id=943524,MOZILLA
911605,Tree Management,Other,Unhide gaia-ui-test once bug 911552 is successfully merged and date-based test failures are no longer occurring,"Bug 911552 caused the gaia-ui-test suite to fail on all trees because the date is a single digit. There's a fix that has been merged to the gaia-ui-tests repository (which had a passing CI run in the pull request), but the tests that ran when the pull request was merged had some random failure, preventing the fix from being pushed to b2g-inbound by the gaia pushbot, which in turn means that the fix can't be merged around to the other trees. No one seems to be around this weekend to do anything about this, tests shouldn't be failing because the date doesn't have two digits, and the trees shouldn't be indefinitely closed until this can be sorted out, so I'm hiding the Gu tests until this can be sorted out.",https://bugzilla.mozilla.org/show_bug.cgi?id=911605,MOZILLA
792804,MailNews Core,Other,"Test failure: mailnews/news/test/unit/test_bug540288.js | [Exception... ""Component returned failure code: 0x80040111 (NS_ERROR_NOT_AVAILABLE) [nsICacheSession.openCacheEntry]"" nsresult: ""0x80040111 (NS_ERROR_NOT_AVAILABLE)""","Since bug 695399 landed on mozilla-central, comm-central xpcshell tests are busted: TEST-UNEXPECTED-FAIL | /home/cltbld/talos-slave/test/build/xpcshell/tests/mailnews/news/test/unit/test_bug540288.js | test failed (with xpcshell return code: 0), see following log: TEST-UNEXPECTED-FAIL | /home/cltbld/talos-slave/test/build/xpcshell/tests/mailnews/news/test/unit/test_bug540288.js | [Exception... ""Component returned failure code: 0x80040111 (NS_ERROR_NOT_AVAILABLE) [nsICacheSession.openCacheEntry]"" nsresult: ""0x80040111 (NS_ERROR_NOT_AVAILABLE)"" location: ""JS frame :: /home/cltbld/talos-slave/test/build/xpcshell/tests/mailnews/news/test/unit/test_bug540288.js :: run_test :: line 76"" data: no] The attached patch fixes this test by using asyncOpenCacheEntry instead of openCacheEntry.",https://bugzilla.mozilla.org/show_bug.cgi?id=792804,MOZILLA
483857,MailNews Core,Other,JavaScript Debug assertions in gloda mime tests,"I'm trying to run make check on debug builds, I'm hitting various debug assertions in the gloda tests which means I can't do a successful ""make -C mailnews check"" run on a debug build. This isn't good for our developers who generally use debug builds afaik, hence the blocker status.",https://bugzilla.mozilla.org/show_bug.cgi?id=483857,MOZILLA
