class,pred1,pred2,equals,Summary,Description,Enviroment
Configuration Bug Report,Other,Other,False,Multi-paragraph blockquotes do not render correctly,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:0.9.7) Gecko/20011221 BuildID: 2001122106 Single paragraph blockquotes render correctly, but more than one paragraph in a blockquote do not. The example is at the bottom of the page. It is XHTML 1.1 compliant except for the ellipse character, but this should not affect the rendering. It appears as one paragraph on top of the other. It should appear as two separate blockquote style paragraphs. Reproducible: Always Steps to Reproduce: 1. View the example page. 2. Scroll to the bottom. 3. Look at the blockquote with two paragraphs. Actual Results: Look at the description. Expected Results: Look at the description. Here is the snippet of the page code where the problem occurs: <blockquote cite=""Mr. Wilson""> <p>Chief Belzer has been my friend since 1914 when he first befriended me and gave me help. He was recognized as the real father of the Boy Scout movement in Indiana. I shall never forget how courageously he stood by his convictions and was willing to do anything to help a younger brother executive.</p> <p>He devotetd his life to the Boy Scouts of America. He loved boys sincerely and enjoyed his work every day he lived. Our chief built a monument to himself in the lives of people forever.</p> </blockquote>",MOZILLA
Configuration Bug Report,Other,Other,False,[Plug-in for ActiveX] Switched parameter in XPconnect.cpp / xpc_GetCLSIDForType / keyMimeType.QueryValue,"User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.2.1) Gecko/20021130 Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.2.1) Gecko/20021130 In XPconnect.cpp / xpc_GetCLSIDForType : keyMimeType.QueryValue(_T(""CLSID""), szGUID, &nCount) Must be : keyMimeType.QueryValue(szGUID, _T(""CLSID""), &nCount) Reproducible: Always Steps to Reproduce: 1. Create an HTML page include a object tag defined by its type only, for instance : <object TYPE=""image/j2c""><param name=""SRC"" value=""http://www.morgan-multimedia.com/JPEG2000/test.jp2""></object> 2. Install Plug-in for ActiveX, npmozax.dll and Morgan JPEG2000 Plug-in for IE (http://www.morgan-multimedia.com/JPEG2000/). 3. View this page with Mozilla. Actual Results: ActiveX control CLSID is not correctly resolved from MIMEType, so ActiveX control is not loaded by Plug-in. Expected Results: ActiveX control CLSID should be correctly resolved from MIMEType and ActiveX control should be loaded by Plug-in.",MOZILLA
Configuration Bug Report,Other,Other,False,implement RDF resource pseudo-aggregation,"per alecf, scottip, and my discussion, I think we agreed to: 1. Add GetDelegate() and ReleaseDelegate() methods to nsIRDFResource. GetDelegate() will look kind of like QueryInterface(), but will take a 'const char*' key, and an IID. 2. Each RDF resource will maintain a table of ""delegate"" objects, indexed using a user-defined 'const char*' key. 3. GetDelegate() will search the table for an object with a matching key. If it finds the object, it will return it, after QI()-ing the object to the specified IID. If no object is found for the specified key, it will attempt to create an object using a ProgID that is constructed by combining the key with the resource's URI's scheme; e.g. component://rdf-delegate?key=nscp-mailnews;scheme=imap It will store the resulting object in the resource's table. 4. Actually, the creation is a bit more involved. The ProgID will be used to find an XPCOM factory; the factory will be QI()-ed to nsIRDFDelegateFactory, which has a CreateInstance() method which accepts the full URI of the resource for which the delegate is being created. This allows the factory to parse the URI, and create different delegates based on information other than the URI's scheme. 5. The lifetime of the delegate and the RDF resource will be bound together. The delegate must forward all AddRef() and Release() calls to the RDF resource. We'll copy XPCOM's aggregation to get this right. 6. If the delegate wants to ""go away"" before the RDF resource goes away (e.g., mailnews is being unloaded), then the delegate uses the ReleaseDelegate() method to unbind itself.",MOZILLA
Configuration Bug Report,Configuration Bug Report,Other,False,remove STREAM_CONVERTER_HACK from file channel,"Scott, When it's save, we need to remove the STREAM_CONVERTER_HACK stuff from the file channel.",MOZILLA
Configuration Bug Report,Configuration Bug Report,Other,False,use of #ifndef XP_MAC is not needed in wallet.cpp,"In wallet.cpp, I see some code which isn't built on Macintosh. I'm guessing that these defines really should be removed. I did remove most of them in my build and those areas compiled fine. What part of wallet is broken on Macintosh given that these stopwatch routines don't function properly? Shouldn't this be fixed asap (for beta2)?",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,triple static link of dbm code.,"We're statically linking against the dbm code on windows and linux. This accounts for 500k bytes of debug bloat (I'm not sure what the release number is). 1 - http://lxr.mozilla.org/seamonkey/source/netwerk/build/Makefile.in#44 2 - http://lxr.mozilla.org/seamonkey/source/netwerk/cache/build/Makefile.in#36 3 - http://lxr.mozilla.org/seamonkey/source/netwerk/cache/filecache/Makefile.in#35 When I remove 1 and 2, my build is fine. Am I missing something here?",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,trace-malloc broken on fxdbug-win32-tbox (due to Vista SDK?),"fxdbug-win32-tbox is burning with: Building deps for /e/builds/tinderbox/Fx-Trunk-Memtest/WINNT_5.2_Depend/mozilla/tools/trace-malloc/lib/nsDebugHelpWin32.cpp cl -FonsDebugHelpWin32.obj -c -DMOZILLA_INTERNAL_API -DOSTYPE=\""WINNT5.2\"" -DOSARCH=WINNT -I/e/builds/tinderbox/Fx-Trunk-Memtest/WINNT_5.2_Depend/mozilla/tools/trace-malloc/lib -I. -I../../../dist/include/xpcom -I../../../dist/include -I../../../dist/include/tracemalloc -I../../../dist/include/nspr -DLCMS_DLL -I../../../dist/sdk/include -GR- -TP -nologo -Zc:wchar_t- -W3 -Gy -Fdtracemalloc.pdb -DDEBUG -D_DEBUG -DDEBUG_cltbld -DTRACING -Zi -MDd -D_CRT_SECURE_NO_DEPRECATE=1 -D_CRT_NONSTDC_NO_DEPRECATE=1 -DWINVER=0x500 -D_WIN32_WINNT=0x500 -D_WIN32_IE=0x0500 -DX_DISPLAY_MISSING=1 -DMOZILLA_VERSION=\""1.9b3pre\"" -DMOZILLA_VERSION_U=1.9b3pre -DHAVE_SNPRINTF=1 -D_WINDOWS=1 -D_WIN32=1 -DWIN32=1 -DXP_WIN=1 -DXP_WIN32=1 -DHW_THREADS=1 -DSTDC_HEADERS=1 -DWIN32_LEAN_AND_MEAN=1 -DNO_X11=1 -D_X86_=1 -DD_INO=d_ino -DMOZ_EMBEDDING_LEVEL_DEFAULT=1 -DMOZ_EMBEDDING_LEVEL_BASIC=1 -DMOZ_EMBEDDING_LEVEL_MINIMAL=1 -DMOZ_PHOENIX=1 -DMOZ_BUILD_APP=browser -DMOZ_XUL_APP=1 -DMOZ_DEFAULT_TOOLKIT=\""cairo-windows\"" -DMOZ_THEBES=1 -DMOZ_CAIRO_GFX=1 -DMOZ_DISTRIBUTION_ID=\""org.mozilla\"" -DOJI=1 -DIBMBIDI=1 -DMOZ_VIEW_SOURCE=1 -DACCESSIBILITY=1 -DMOZ_XPINSTALL=1 -DMOZ_JSLOADER=1 -DNS_PRINTING=1 -DNS_PRINT_PREVIEW=1 -DMOZ_NO_XPCOM_OBSOLETE=1 -DMOZ_XTF=1 -DMOZ_CRASHREPORTER=1 -DMOZ_MATHML=1 -DMOZ_ENABLE_CANVAS=1 -DMOZ_SVG=1 -DMOZ_SVG_FOREIGNOBJECT=1 -DMOZ_UPDATE_CHANNEL=default -DMOZ_PLACES=1 -DMOZ_FEEDS=1 -DMOZ_STORAGE=1 -DMOZ_SAFE_BROWSING=1 -DMOZ_URL_CLASSIFIER=1 -DMOZ_LOGGING=1 -DNS_TRACE_MALLOC=1 -DMOZ_USER_DIR=\""Mozilla\"" -DHAVE_UINT64_T=1 -DMOZ_XUL=1 -DMOZ_PROFILELOCKING=1 -DMOZ_RDF=1 -DMOZ_MORKREADER=1 -DMOZ_DLL_SUFFIX=\"".dll\"" -DJS_THREADSAFE=1 -DMOZ_REFLOW_PERF=1 -DMOZ_REFLOW_PERF_DSP=1 -DMOZILLA_LOCALE_VERSION=\""1.9a1\"" -DMOZILLA_REGION_VERSION=\""1.9a1\"" -DMOZILLA_SKIN_VERSION=\""1.8\"" -D_MOZILLA_CONFIG_H_ -DMOZILLA_CLIENT /e/builds/tinderbox/Fx-Trunk-Memtest/WINNT_5.2_Depend/mozilla/tools/trace-malloc/lib/nsDebugHelpWin32.cpp nsDebugHelpWin32.cpp e:/builds/tinderbox/Fx-Trunk-Memtest/WINNT_5.2_Depend/mozilla/tools/trace-malloc/lib/nsDebugHelpWin32.cpp(226) : error C2664: 'BOOL (HANDLE,PENUMLOADED_MODULES_CALLBACK,PVOID)' : cannot convert parameter 2 from 'overloaded-function' to 'PENUMLOADED_MODULES_CALLBACK' None of the functions with this name in scope match the target type make[4]: *** [nsDebugHelpWin32.obj] Error 2 (http://tinderbox.mozilla.org/showlog.cgi?log=Firefox/1202038440.1202039353.14921.gz) This started happening after bug 414894 landed and the box was clobbered to fix the resulting crashes running the bloat test. It's had a further two manual clobbers. Normally this box does depend builds only, so clobber builds could be busted for some time without us knowing. (Unfortunately, there's no way to figure out when the last clobber build was without inspecting all the logs.) Can't see any changes in trace-malloc recently, but the Vista SDK was installed early in January - the current reference platform is described at http://wiki.mozilla.org/ReferencePlatforms/Win32#January_2008_Update.2FRefresh",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,"[Windows] After bug 551254, Firefox/SeaMonkey fails to build or run with error like ""?","I downloaded the ""most recent"" build and discovered this failure. I haven't verified but I assume this is a regression from bug 551254.",MOZILLA
Configuration Bug Report,Other,Configuration Bug Report,False,Cannot build old Windows SDKs since Bug 830347,c:\t1\hg\comm-central\mozilla\gfx\layers\d3d11\TextureD3D11.h(226) : error C2065: 'D3D_FEATURE_LEVEL_11_1' : undeclared identifier c:\t1\hg\comm-central\mozilla\gfx\layers\d3d11\TextureD3D11.h(226) : error C2051: case expression not constant c:\t1\hg\comm-central\mozilla\gfx\layers\d3d11\TextureD3D11.h(235) : error C2065: 'D3D_FL9_3_REQ_TEXTURE2D_U_OR_V_DIMENSION' : undeclared identifier c:\t1\hg\comm-central\mozilla\gfx\layers\d3d11\TextureD3D11.h(238) : error C2065: 'D3D_FL9_1_REQ_TEXTURE2D_U_OR_V_DIMENSION' : undeclared identifier,MOZILLA
Configuration Bug Report,Other,Other,False,Bug 906072 completely broke IME context management when password field gets focus,This is really critical regression of IME handling on GTK when password field has focus!!,MOZILLA
Configuration Bug Report,Other,Other,False,browser_pluginCrashCommentAndURL.js hangs ubuntu ec2 slaves in conjunction with browser_bug410900.js,"The majority of our linux desktop unittests run on amazon ec2 slaves, all except for linux debug browser-chrome. this is because we fail on browser_bug410900.js: https://tbpl.mozilla.org/php/getParsedLog.php?id=29931108&tree=Cedar 11:39:57 INFO - INFO TEST-END | chrome://mochitests/content/browser/browser/components/preferences/in-content/tests/browser_advanced_update.js | finished in 1114ms 11:39:57 INFO - TEST-INFO | checking window state 11:39:57 INFO - TEST-START | chrome://mochitests/content/browser/browser/components/preferences/in-content/tests/browser_bug410900.js 11:39:57 INFO - ++DOCSHELL 0x2da6340 == 80 [id = 1209] 11:39:57 INFO - ++DOMWINDOW == 224 (0x8291e98) [serial = 3360] [outer = (nil)] 11:39:57 INFO - ++DOMWINDOW == 225 (0xb09cd68) [serial = 3361] [outer = 0x8291e98] 11:39:57 INFO - [Parent 2396] WARNING: NS_ENSURE_TRUE(mMutable) failed: file ../../../../netwerk/base/src/nsSimpleURI.cpp, line 264 11:39:57 INFO - [Parent 2396] WARNING: NS_ENSURE_TRUE(mMutable) failed: file ../../../../netwerk/base/src/nsSimpleURI.cpp, line 264 11:39:57 INFO - ++DOMWINDOW == 226 (0xafcb388) [serial = 3362] [outer = 0x8291e98] 11:39:57 INFO - [Parent 2396] WARNING: NS_ENSURE_SUCCESS(rv, rv) failed with result 0x80520012: file ../../../layout/style/Loader.cpp, line 2007 11:39:57 INFO - [Parent 2396] WARNING: NS_ENSURE_TRUE(enabled) failed: file ../../../dom/base/Navigator.cpp, line 1707 11:39:58 INFO - [Parent 2396] WARNING: waitpid failed pid:2442 errno:10: file ../../../ipc/chromium/src/base/process_util_posix.cc, line 254 11:45:28 WARNING - TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/preferences/in-content/tests/browser_bug410900.js | application timed out after 330 seconds with no output",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,[SeaMonkey] Windows bustage in nsUrlWidget after bug 581596 landing,"make[6]: Entering directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir/suite/browser/src' nsUrlWidget.cpp d:/mozilla-build/python25/python2.5.exe -O e:/builds/slave/comm-central-trunk-win32-debug/build/mozilla/build/cl.py cl -FonsUrlWidget.obj -c -D_HAS_EXCEPTIONS=0 -I../../../mozilla/dist/stl_wrappers -DMOZ_SUITE=1 -DOSTYPE=\""WINNT5.2\"" -DOSARCH=WINNT -I/e/builds/slave/comm-central-trunk-win32-debug/build/suite/browser/src -I. -I../../../mozilla/dist/include -I../../../mozilla/dist/include/nsprpub -Ie:/builds/slave/comm-central-trunk-win32-debug/build/objdir/mozilla/dist/include/nspr -Ie:/builds/slave/comm-central-trunk-win32-debug/build/objdir/mozilla/dist/include/nss -GR- -TP -nologo -Zc:wchar_t- -W3 -Gy -Fdgenerated.pdb -wd4800 -DDEBUG -D_DEBUG -DTRACING -Zi -MDd -FI ../../../comm-config.h -DMOZILLA_CLIENT /e/builds/slave/comm-central-trunk-win32-debug/build/suite/browser/src/nsUrlWidget.cpp nsUrlWidget.cpp e:\builds\slave\comm-central-trunk-win32-debug\build\objdir\mozilla\dist\include\nsStringFwd.h(49) : fatal error C1189: #error : Internal string headers are not available from external-linkage code. make[6]: Leaving directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir/suite/browser/src' make[5]: Leaving directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir/suite/browser' make[4]: Leaving directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir/suite' make[3]: Leaving directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir' make[2]: Leaving directory `/e/builds/slave/comm-central-trunk-win32-debug/build/objdir' make[6]: *** [nsUrlWidget.obj] Error 2 This happens on Windows SeaMonkey builds since bug 581596 landed. Standard8 says this on IRC: <Standard9> here's your regression: http://hg.mozilla.org/mozilla-central/rev/674eb3bc24a5 <Standard9> well <Standard9> maybe <Standard9> yes it is <Standard9> line 7.7 <Standard9> the #include ""nsString.h"" <Standard9> in theory that should be #include ""nsStringGlue.h"", but at a quick glance, I'm not sure that's the right thing there <Standard9> basically the mozilla-central code there is assuming internal API <Standard9> whereas suite is using the interface from external API",MOZILLA
Configuration Bug Report,Other,Other,False,Core dump on http://www.vecernji-list.hr/ page load,"Any time I try to connect to URL http://www.vecernji-list.hr/ Mozilla M6 dumps core. If I load the same page in Netscape 4.6 page comes up OK. Machine is a Pentium II 300 Mhz with 256 MB of RAM and RedHat 5.2. Document http://www.mozilla.org/quality/smoketests/ loaded successfully Init! Reading file... Reading file...Done adding ""http://cvs-mirror.mozilla.org/webtools/tinderbox/SeaMonkey/flash.rdf"" to the tree Connect: Contacting host: cvs-mirror.mozilla.org... Connect: Host cvs-mirror.mozilla.org contacted. Waiting for reply... Transferring data from cvs-mirror.mozilla.org poll interval = ""[xpconnect wrapped nsIRDFNode]"" http://cvs-mirror.mozilla.org/webtools/tinderbox/SeaMonkey/flash.rdf: setting poll interval to 300sec. Timer::Init() called with bogus value ""300000""! Not enabling timer. FindBookmarkShortcut: in='http://www.vecernji-list.hr/' out='' Document: Done (1.881 secs) Got a handle to forward menu item Setting forward menu item disabled Obtained MenuItem Back Setting Back menuitem to enabled Error loading URL http://www.vecernji-list.hr/ Oh no! ./apprunner just dumped a core file.",MOZILLA
Configuration Bug Report,Other,Other,False,alfred chrome out of date--won't run on moz0.8.1,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; 0.8.1) Gecko/20010320 BuildID: 2001032004 On a clean install with a freshly converted profile from Netscape 4, installing the ""alfred"" chrome (install appears successful) and then applying it does nothing. Restarting Mozilla hangs at the splash screen, deleting profile fixes hand condition. Reproducible: Always Steps to Reproduce: 1.Download ""alfred"" chrome from http://x.themes.org using Quick Install 2.View / Apply theme / alfred 3.Restart Mozilla Actual Results: Alfred doesn't apply and profile appears corrupt. Expected Results: Alfred should apply and profile should remain intact. I have the corrupted profile if anyone wants me to attach files from it.",MOZILLA
Configuration Bug Report,Other,Other,False,Web console is buggy in window mode,"At least on Mac, when going to windowed mode, if I use the keyboard shortcut to close it (mac-shift-K) the console remains and then is completely unresponsive until I quit Firefox. STR: 1. Type mac shift K 2. Change position -> window 3. Type mac shift K Expected: 1. Window should close 2. Window becomes zombie-like",MOZILLA
Configuration Bug Report,Other,Other,False,Today repository cause a black display on SGS2/Otoro due to regression from bug 778079,Today repository cause a black display on a Samsung Galaxy S2 dmesg show <6>[ 1.755654] failed to copy MFC F/W during init Which according to someone on #b2g could be the cause of the problem. It has been reported to not occur on other hardware.,MOZILLA
Configuration Bug Report,Other,Other,False,bugzilla searches timing out (loading bugs directly works fine),bad: https://bugzilla.mozilla.org/buglist.cgi?quicksearch=LIR_ld good: https://bugzilla.mozilla.org/show_bug.cgi?id=444682,MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,Port |Bug 600435 - XULRunner universal for i386/x64_64 fails to unify nspr-config| to comm-central,"After bug 600435 landing, SeaMonkey builds fail with: http://tinderbox.mozilla.org/showlog.cgi?log=SeaMonkey/1295234000.1295234935.14052.gz Linux comm-central-trunk build on 2011/01/16 19:13:20 http://tinderbox.mozilla.org/showlog.cgi?log=SeaMonkey/1295233998.1295234791.13661.gz OS X 10.6 comm-central-trunk build on 2011/01/16 19:13:18 { ... /builds/slave/comm-cen-trunk-lnx/build/mozilla/xpcom/glue/nsStringAPI.cpp:952: undefined reference to `PR_sscanf' collect2: ld returned 1 exit status make[5]: *** [libsuite.so] Error 1 } I assume http://hg.mozilla.org/mozilla-central/rev/9151e7c5577b needs to be ported to comm-central. NB: Fwiw, Thunderbird seems unaffected :-|",MOZILLA
Configuration Bug Report,Configuration Bug Report,Other,False,Trunk builds broken by bug 556214: undeclared 'MonitorAutoEnter',"All trunk builds of Thunderbird have been broken by bug 556214, due to the decision to make the default monitor non-reentrant. This will probably require an ifdef MOZILLA_AURORA, if we don't already have that kind of thing set up. I see failure in IMAP, but it probably exists in other places as well.",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,Port build system changes from Bug 585016 and Bug 924615 to comm-central,"Bug 585016 changed a few things in the build system, a few changed need to be ported to the comm-central build system as (for example) a SeaMonkey clobber build currently fails with: 2:32.31 c:/mozilla/tree-hg/comm-central/obj-i686-pc-mingw32/mozilla/_virtualenv /Scripts/python.exe: can't open file 'c:/mozilla/tree-hg/comm-central/mozilla/co nfig/buildlist.py': [Errno 2] No such file or directory 2:32.31 c:\mozilla\tree-hg\comm-central\config\rules.mk:638:0: command 'c:/mozi lla/tree-hg/comm-central/obj-i686-pc-mingw32/mozilla/_virtualenv/Scripts/python. exe c:/mozilla/tree-hg/comm-central/mozilla/config/buildlist.py ../../../mozilla /config/final-link-libs mozldap' failed, return code 2",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,"Port |Bug 1044162 - make install locations for EXTRA_{PP_,}JS_MODULES better| to comm-central","Bug 1044162 added some functionality to the build system for EXTRA_{PP_,}JS_MODULES and removed JS_MODULES_PATH This ports the changes required. This patch requires the patch from bug 1044460 and its dependencies.",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,Fix build problems caused by Bug 847195 [error: nsIDOMNamedNodeMap.h: No such file or directory],"It looks like Bug 847195 removed the nsIDOMNamedNodeMap class, due to that build failure(s?) occur, from SeaMonkey build log: [...] /builds/slave/c-cen-t-lnx-ntly/build/mailnews/compose/src/nsMsgCompose.cpp:17:32: fatal error: nsIDOMNamedNodeMap.h: No such file or directory [...]",MOZILLA
Configuration Bug Report,Other,Other,False,no response from email to ftp-stage@mozilla.org for releases,"Well, I have tried many other routes, but, have not gotten anywhere, so I will make this a bug in the system. For the last 3-4 releases, I have sent mail to ftp-stage@mozilla.org, letting them know of a release build I have made for BeOS, and it takes a good week for a response. Once the build gets to the ftp server, it then seems to take yet another day or so, for the releases page to be modified. Sending mulitple messages to ftp-stage does not seem to help. This gives the impression that BeOS builds are not being made on time, when, in fact, they are. Plus, since I am the only one making BeOS builds, I have not found any way to determine when a build will be ready for release ahead of time, so that the BeOS build can be posted on the release page in coordination with the other releases. Last fall, when I would post a release build, it would be placed on the mozilla ftp server within a day or two, and the releases page would be updated at the same time. If I had access to the ftp server, I would put the build there myself, but, alas, I do not.",MOZILLA
Configuration Bug Report,Other,Other,False,Old link to Bugzilla Helper,"The link to Bugzilla helper is outdated. <http://www.mozilla.org/quality/help/bug-form.html> Although it redirects to the right page, it would look better if the bug writing guidelines page was updated.",MOZILLA
Configuration Bug Report,Configuration Bug Report,Configuration Bug Report,True,Navigator doesn't build,"Created by Thorsten Heit (thorsten@wurzelausix.cs.uni-sb.de) on Wednesday, April 8, 1998 5:02:34 AM PDT Additional Details : The patches in ns/nsprpub/pr/include/md/_linux.* are taken from the SunOS4 files and seem to work: --- ns/nsprpub/pr/include/md/_linux.h.orig Tue Mar 31 04:05:25 1998 +++ ns/nsprpub/pr/include/md/_linux.h Wed Apr 8 13:41:18 1998 @@ -29,6 +29,8 @@ #define _PR_SI_ARCHITECTURE ""ppc"" #elif defined(__alpha) #define _PR_SI_ARCHITECTURE ""alpha"" +#elif defined(__sparc__) +#define _PR_SI_ARCHITECTURE ""sparc"" #else #define _PR_SI_ARCHITECTURE ""x86"" #endif @@ -92,6 +94,12 @@ /* XXX not sure if this is correct, or maybe it should be 17? */ #define PR_NUM_GCREGS 9 + + +#elif defined(__sparc__) +/* Sparc based Linux */ +#define _MD_GET_SP(_t) (_t)->md.context[0].__jmpbuf[0].__fp +#define PR_NUM_GCREGS _JBLEN #else /* Intel based Linux */ --- ns/nsprpub/pr/include/md/_linux.cfg.orig Tue Mar 31 04:05:25 1998 +++ ns/nsprpub/pr/include/md/_linux.cfg Tue Apr 7 15:04:35 1998 @@ -116,6 +116,55 @@ #define PR_BYTES_PER_WORD_LOG2 3 #define PR_BYTES_PER_DWORD_LOG2 3 +#elif defined(__sparc__) + +#undef IS_LITTLE_ENDIAN +#define IS_BIG_ENDIAN 1 +#undef HAVE_LONG_LONG +#define HAVE_ALIGNED_DOUBLES +#undef HAVE_ALIGNED_LONGLONGS + +#define PR_BYTES_PER_BYTE 1 +#define PR_BYTES_PER_SHORT 2 +#define PR_BYTES_PER_INT 4 +#define PR_BYTES_PER_INT64 8 +#define PR_BYTES_PER_LONG 4 +#define PR_BYTES_PER_FLOAT 4 +#define PR_BYTES_PER_DOUBLE 8 +#define PR_BYTES_PER_WORD 4 +#define PR_BYTES_PER_DWORD 8 +#define PR_BYTES_PER_WORD_LOG2 2 +#define PR_BYTES_PER_DWORD_LOG2 3 + +#define PR_BITS_PER_BYTE 8 +#define PR_BITS_PER_SHORT 16 +#define PR_BITS_PER_INT 32 +#define PR_BITS_PER_INT64 64 +#define PR_BITS_PER_LONG 32 +#define PR_BITS_PER_FLOAT 32 +#define PR_BITS_PER_DOUBLE 64 +#define PR_BITS_PER_WORD 32 + +#define PR_BITS_PER_BYTE_LOG2 3 +#define PR_BITS_PER_SHORT_LOG2 4 +#define PR_BITS_PER_INT_LOG2 5 +#define PR_BITS_PER_INT64_LOG2 6 +#define PR_BITS_PER_LONG_LOG2 5 +#define PR_BITS_PER_FLOAT_LOG2 5 +#define PR_BITS_PER_DOUBLE_LOG2 6 +#define PR_BITS_PER_WORD_LOG2 5 + +#define PR_ALIGN_OF_SHORT 2 +#define PR_ALIGN_OF_INT 4 +#define PR_ALIGN_OF_LONG 4 +#define PR_ALIGN_OF_INT64 8 +#define PR_ALIGN_OF_FLOAT 4 +#define PR_ALIGN_OF_DOUBLE 8 +#define PR_ALIGN_OF_POINTER 4 + +#define BYTES_PER_WORD_LOG2 PR_BYTES_PER_WORD_LOG2 +#define BYTES_PER_DWORD_LOG2 PR_BYTES_PER_DWORD_LOG2 + #else #define IS_LITTLE_ENDIAN 1 The ns/config/config.guess file file should be changed because all Linux supported platforms are working the same way: --- ns/config/config.guess.orig Wed Apr 8 13:51:27 1998 +++ ns/config/config.guess Wed Apr 8 13:53:26 1998 @@ -196,13 +196,7 @@ i[3456]86:NetBSD:*:*) echo ${UNAME_MACHINE}-unknown-netbsd${UNAME_RELEASE} exit 0 ;; - alpha:Linux:*:*) - echo ${UNAME_MACHINE}-unknown-linux - exit 0 ;; - i[3456]86:Linux:*:*) - echo ${UNAME_MACHINE}-unknown-linux - exit 0 ;; - ppc:Linux:*:*) + *:Linux:*:*) echo ${UNAME_MACHINE}-unknown-linux exit 0 ;; i[3456]86:UNIX_SV:4.*:* | i[3456]86:SYSTEM_V:4.*:*) Updated by Wan-Teh Chang (wtc@netscape.com) on Friday, April 24, 1998 12:05:36 PM PDT Additional Details : Added bug to myself. I will merge the patches to ns/nsprpub. I will email Brian Ostrom <briano@netscape.com> about the patch to ns/config/config.guess. Updated by Wan-Teh Chang (wtc@netscape.com) on Tuesday, June 16, 1998 8:21:46 PM PDT Additional Details : I believed that Mozilla builds and runs on Sparc Linux now. I ported nsprpub, and Chris McAfee ported the rest of Mozilla. Marked the bug resolved. Updated by Wan-Teh Chang (wtc@netscape.com) on Tuesday, June 16, 1998 8:26:25 PM PDT Additional Details : Closed the bug.",MOZILLA
