Bug-ID;Project;Classification;Summary;Description
CD45;PHP;Configuration;Larger uploads not posting on nginx + php-fpm;Larger uploads not posting on nginx + php-fpm
CD46;Nginx;Configuration;Raised PHP7.0-fpm capacity, still overloads;Raised PHP7.0-fpm capacity, still overloads
CD47;PHP;Configuration;Unable to remove limit on memory usage for PHP script;Unable to remove limit on memory usage for PHP script
CD48;Nginx;Configuration;Passing arbitrary http request headers to nginx and then to php;Passing arbitrary http request headers to nginx and then to php
CD49;Nginx;Configuration;Communication failure between nginx and PHP-FPM;Communication failure between nginx and PHP-FPM
CD50;PHP;Configuration;Need help executing php on Apple Xserve;Need help executing php on Apple Xserve
CD51;Apache httpd;Configuration;Client denied by server configuration on Apache 2.4;Client denied by server configuration on Apache 2.4
CD52;Nginx;Configuration;PHP/Nginx error(Win);PHP/Nginx error(Win)
CD53;Nginx;Configuration;Strange issue with Nginx compiled from source and Nginx from official Fedora repository;Strange issue with Nginx compiled from source and Nginx from official Fedora repository
CD54;PHP;Configuration;Percona: Got an error writing communication packets;Percona: Got an error writing communication packets
CD55;Apache httpd;Configuration;Debian Apache Deflate mod not working;Debian Apache Deflate mod not working
CD56;PHP;Configuration;PHP + AJAX cannot upload files larger than 100KB;PHP + AJAX cannot upload files larger than 100KB
CD57;MySQL;Configuration;MySQL too many connections during normal conditions (Percona, InnoDB);MySQL too many connections during normal conditions (Percona, InnoDB)
CD58;Apache httpd;Configuration;The mod_negotiation seems to be enabled, but .php files without extensions return 404;The mod_negotiation seems to be enabled, but .php files without extensions return 404
CD59;Apache httpd;Configuration;HTTP Error: 413 Request Entity Too Large;HTTP Error: 413 Request Entity Too Large
CD60;PHP;Configuration;Can't upload 5mb file using AJAX file uploader;Can't upload 5mb file using AJAX file uploader
CD61;Apache httpd;Configuration;Apache webserver HTTPS port redirects to HTTP with port 443;Apache webserver HTTPS port redirects to HTTP with port 443
CD62;Nginx;Configuration;How to make Zend 2 and Nginx work?;How to make Zend 2 and Nginx work?
CD63;Apache httpd;Configuration;Error 404 with all pages but index in WordPress over Apache;Error 404 with all pages but index in WordPress over Apache
CD64;Nginx;Configuration;why adding Expire-Header to static files in nginX does not work;why adding Expire-Header to static files in nginX does not work
CD65;Nginx;Configuration;HaProxy edge redirecting to proxy port (instead of proxying) for certain URI patterns;HaProxy edge redirecting to proxy port (instead of proxying) for certain URI patterns
CD66;Apache httpd;Configuration;Mod_rewrite (CakePHP routing functionality) forbidden after Snow Leopard upgrade;Mod_rewrite (CakePHP routing functionality) forbidden after Snow Leopard upgrade
CD67;Apache httpd;Configuration;apache2 sends corrupt responses when using a cifs-share;apache2 sends corrupt responses when using a cifs-share
CD68;Apache httpd;Configuration;NameVirtualHost 12.345.67.89:443 has no VirtualHosts after enabling and disabling suexec module;NameVirtualHost 12.345.67.89:443 has no VirtualHosts after enabling and disabling suexec module
CD69;Apache httpd;Configuration;setting up mod proxy in apache;setting up mod proxy in apache
CD70;Apache httpd;Configuration;apache htaccess rewriterule to remove trailing slash infinite loop;apache htaccess rewriterule to remove trailing slash infinite loop
CD71;Apache httpd;Configuration;configure new server for htaccess;configure new server for htaccess
CD72;Apache httpd;Configuration;how can i prevent users from seeing my php source code;how can i prevent users from seeing my php source code
CD73;Apache httpd;Configuration;seperate server logs;seperate server logs
CD74;Apache httpd;Configuration;how to stop mod deflate from logging to my php error log;how to stop mod deflate from logging to my php error log
CD75;Apache httpd;Configuration;ssl error 107 apache2 ssl config;ssl error 107 apache2 ssl config
CD76;Apache httpd;Configuration;ec2 apache server giving some old browsers a self signed certificate;ec2 apache server giving some old browsers a self signed certificate
CD77;Apache httpd;Configuration;htaccess does not ask the password;htaccess does not ask the password
CD78;Apache httpd;Configuration;how to check and change permissions of files and folders for web server in windo;how to check and change permissions of files and folders for web server in windo
CD79;Apache httpd;Configuration;starting apache 2 at boot on mac os x server 10 6;starting apache 2 at boot on mac os x server 10 6
CD80;Apache httpd;Configuration;apache permission errors;apache permission errors
CD81;Apache httpd;Configuration;apache virtualhost entry with windows hostname;apache virtualhost entry with windows hostname
CD82;Apache httpd;Configuration;Hadoop is not showing my job in the job tracker even though it is running;Hadoop is not showing my job in the job tracker even though it is running
CD83;Apache httpd;Configuration;Can't Get Any Browser to Prompt for A Client Certificate (Certificates on Apache);Can't Get Any Browser to Prompt for A Client Certificate (Certificates on Apache)
CD84;Apache httpd;Configuration;httpd overwrite conf file directive with conf.d directive;httpd overwrite conf file directive with conf.d directive
CD85;Apache httpd;Configuration;nginx mysterious error despite right configuration;nginx mysterious error despite right configuration
CD86;Apache httpd;Configuration;Log4j appenders for spring DependencyInjectionTestExecutionListener;Log4j appenders for spring DependencyInjectionTestExecutionListener
CD87;Apache httpd;Configuration;Nginx proxy configuration error: [crit] pread();Nginx proxy configuration error: [crit] pread()
CD88;Apache httpd;Configuration;Error: Configuration with name 'default' not found in Android Studio;Error: Configuration with name 'default' not found in Android Studio
CD89;Apache httpd;Configuration;Apache “Client denied by server configuration”, despite allowing access to directory (vhost configuration);Apache “Client denied by server configuration”, despite allowing access to directory (vhost configuration)
CD90;Apache httpd;Configuration;Too many redirect when trying to redirect domain to subfolder to VirtualHost;Too many redirect when trying to redirect domain to subfolder to VirtualHost
CD91;Apache httpd;Configuration;apache configuration for drupal multisite;apache configuration for drupal multisite
CD92;Apache httpd;Configuration;Cannot display custom error pages on different VirtualHosts in Apache;Cannot display custom error pages on different VirtualHosts in Apache
CD93;Apache httpd;Configuration;Cannot serve html file as directory;Cannot serve html file as directory
CD94;Apache httpd;Configuration;The apache2handler SAPI is not supported by pthreads;The apache2handler SAPI is not supported by pthreads
CD95;Apache httpd;Configuration;SSL is not working;SSL is not working
CD96;Apache httpd;Configuration;client denied by server configuration: /var/www/cgi-bintest.pl;client denied by server configuration: /var/www/cgi-bintest.pl
CD97;Apache httpd;Configuration;Cannot get html/css/jpg pages server by both apache & tomcat with mod_jk;Cannot get html/css/jpg pages server by both apache & tomcat with mod_jk
CD98;Apache httpd;Configuration;Apache return 500 error with authentication by LDAP secure port (ldaps);Apache return 500 error with authentication by LDAP secure port (ldaps)
CD99;Apache httpd;Configuration;Apache 2.2 cut very long URLs from Wildfly;Apache 2.2 cut very long URLs from Wildfly
CD100;Apache httpd;Configuration;apache returns error message in body while returning 200 status code;apache returns error message in body while returning 200 status code
CD101;Apache httpd;Configuration;Apache hangs after every 2-3 weeks, with closed_wait connections increasing until it is restarted;Apache hangs after every 2-3 weeks, with closed_wait connections increasing until it is restarted
CD102;Apache httpd;Configuration;AH01711: auth_ldap authorise: User DN not found, User not found;AH01711: auth_ldap authorise: User DN not found, User not found
CD103;Apache httpd;Configuration;AH01630: client denied by server configuration;AH01630: client denied by server configuration
CD104;Apache httpd;Configuration;Apache Load Balancing Proxy bypass not working;Apache Load Balancing Proxy bypass not working
CD105;Apache httpd;Configuration;error in Virtual Host's SSL certificate file;error in Virtual Host's SSL certificate file
CD106;Apache httpd;Configuration;Error when trying to get the hang of the reverse proxy features in Apache;Error when trying to get the hang of the reverse proxy features in Apache
CD107;Apache httpd;Configuration;SSL Certificate error in Apache 2.4;SSL Certificate error in Apache 2.4
CD108;Apache httpd;Configuration;can't change document root in apache;can't change document root in apache
CD109;Apache httpd;Configuration;WINNT Apache MPM “ThreadsPerChild” configuration on Windows Server 2008 R2;WINNT Apache MPM “ThreadsPerChild” configuration on Windows Server 2008 R2
CD110;Apache httpd;Configuration;OpenSSL 0.9 on CentOS Not Generating SSL Cert Correctly;OpenSSL 0.9 on CentOS Not Generating SSL Cert Correctly
CD111;Others;Configuration;How to change the language used within the Cygwin terminal?;How to change the language used within the Cygwin terminal?
CD112;Nginx;Configuration;Nginx/Php Fastcgi permission issue;Nginx/Php Fastcgi permission issue
CD113;Others;Configuration;Error : No unix socket support on windows connecting mongodb;Error : No unix socket support on windows connecting mongodb
CD114;MySQL;Configuration;Can't connect to local MySQL server through socket '/var/mysql/mysql.sock';Can't connect to local MySQL server through socket '/var/mysql/mysql.sock'
CD115;Others;Configuration;Solr DataImportHandler not found;Solr DataImportHandler not found
CD116;MySQL;Configuration;ASP.Net MVC4 configuration error after installing MySQL Connector .NET;ASP.Net MVC4 configuration error after installing MySQL Connector .NET
CD117;Nginx;Configuration;"Symfony - Nginx Configuration error : FastCGI sent in stderr ""Primary script unknown""";"Symfony - Nginx Configuration error : FastCGI sent in stderr ""Primary script unknown"""
CD118;Others;Configuration;Log4j different appenders for different log levels using properties file;Log4j different appenders for different log levels using properties file
CD119;Others;Configuration;log4j2 - limiting the number of log files;log4j2 - limiting the number of log files
CD120;Others;Configuration;My log4j2 log file always have double output of each line. How can I stop the duplication please?;My log4j2 log file always have double output of each line. How can I stop the duplication please?
CD121;Others;Configuration;log4j appender threshold and category;log4j appender threshold and category
CD122;Others;Configuration;How do I write error info in a separate file using log4j;How do I write error info in a separate file using log4j
CD123;Others;Configuration;How do I configure logback to gzip my logs automatically?;How do I configure logback to gzip my logs automatically?
CD124;MySQL;Configuration;How to shrink/purge ibdata1 file in MySQL;How to shrink/purge ibdata1 file in MySQL
CD125;Nginx;Configuration;correct configuration for nginx to localhost?;correct configuration for nginx to localhost?
CD126;Nginx;Configuration;"nginx ""server"" directive with multiple ""server_name"" entries: always first one is passed to PHP's $_SERVER['SERVER_NAME']";"nginx ""server"" directive with multiple ""server_name"" entries: always first one is passed to PHP's $_SERVER['SERVER_NAME']"
CD127;Nginx;Configuration;ERR_CONTENT_LENGTH_MISMATCH on nginx and proxy on Chrome when loading large files;ERR_CONTENT_LENGTH_MISMATCH on nginx and proxy on Chrome when loading large files
CD128;Others;Configuration;Best practices when running Node.js with port 80 (Ubuntu / Linode) [closed];Best practices when running Node.js with port 80 (Ubuntu / Linode) [closed]
CD129;Others;Configuration;Spring Boot JPA - configuring auto reconnect;Spring Boot JPA - configuring auto reconnect
CD130;Others;Configuration;Tomcat - How to limit the maximum memory Tomcat will use;Tomcat - How to limit the maximum memory Tomcat will use
CD131;Others;Configuration;How do I increase the RAM and set up host-only networking in Vagrant?;How do I increase the RAM and set up host-only networking in Vagrant?
CD132;Others;Configuration;How to set Python language specific tab spacing in Visual Studio Code?;How to set Python language specific tab spacing in Visual Studio Code?
CD133;PHP;Configuration;beanstalkd driver configuration error in laravel app;beanstalkd driver configuration error in laravel app
CD134;Nginx;Configuration;nginx rewrite with index configuration error;nginx rewrite with index configuration error
CD135;Nginx;Configuration;'No Input file specified' error - NginX / fcgi - when requesting non-existant .php file;'No Input file specified' error - NginX / fcgi - when requesting non-existant .php file
CD136;Nginx;Configuration;GitLab behind nginx doesn't work;GitLab behind nginx doesn't work
CD137;Apache httpd;Configuration;Setup mod_proxy on apache http server;Setup mod_proxy on apache http server
CD138;MySQL;Configuration;Barman geo-redundancy configuration error;Barman geo-redundancy configuration error
CD139;Nginx;Configuration;Redirect to 127.0.0.1 when access a wordpress hosted with apache and nginx in proxy;Redirect to 127.0.0.1 when access a wordpress hosted with apache and nginx in proxy
CD140;Others;Configuration;org.hibernate.HibernateException: Access to DialectResolutionInfo cannot be null when 'hibernate.dialect' not set;org.hibernate.HibernateException: Access to DialectResolutionInfo cannot be null when 'hibernate.dialect' not set
CD141;Others;Configuration;Spring-Boot MVC Template Not Loading (404 Not Found);Spring-Boot MVC Template Not Loading (404 Not Found)
CD142;Nginx;Configuration;How to set the allowed url length for a nginx request (error code: 414, uri too large);How to set the allowed url length for a nginx request (error code: 414, uri too large)
CD143;Nginx;Configuration;Error 502 in nginx + php5-fpm;Error 502 in nginx + php5-fpm
CD144;Nginx;Configuration;Why is Custom Error Page not working in my nginx configuration?;Why is Custom Error Page not working in my nginx configuration?
CD145;Nginx;Configuration;File Not Found when running PHP with Nginx;File Not Found when running PHP with Nginx
CD146;Others;Configuration;WCF client endpoint: SecurityNegotiationException without <dns>;WCF client endpoint: SecurityNegotiationException without <dns>
CD147;Nginx;Configuration;NGINX server block configuration for hosting multiple websites on Ubuntu 16.04;NGINX server block configuration for hosting multiple websites on Ubuntu 16.04
CD148;Nginx;Configuration;How to upload an image using NodeJS, Nginx and base64? (413 PayloadTooLargeError: request entity too large);How to upload an image using NodeJS, Nginx and base64? (413 PayloadTooLargeError: request entity too large)
CD149;Nginx;Configuration;Proxy Protocol with NGinx, LXD/LXC and Kong;Proxy Protocol with NGinx, LXD/LXC and Kong
CD150;Nginx;Configuration;nginx ssl + react + node, response is timeout;nginx ssl + react + node, response is timeout
CD151;Nginx;Configuration;Websockets not working on iOS and Safari - OSSStatus Error 9837;Websockets not working on iOS and Safari - OSSStatus Error 9837
CD152;Nginx;Configuration;Cannot use url to navigate in react through nginx;Cannot use url to navigate in react through nginx
CD153;Nginx;Configuration;nginx not serving the sitemap file;nginx not serving the sitemap file
CD154;Nginx;Configuration;kubernetes nginx ingress error with configuration-snippet;kubernetes nginx ingress error with configuration-snippet
CD155;Nginx;Configuration;nginx configuration for node subdomain gives 502 error;nginx configuration for node subdomain gives 502 error
CD156;Others;Configuration;Hibernate reverse engineering in eclipse from SQL Server Express R2;Hibernate reverse engineering in eclipse from SQL Server Express R2
CD157;Others;Configuration;AVD hardware buttons not enabled;AVD hardware buttons not enabled
CD158;Nginx;Configuration;"nginx: [emerg] ""fastcgi_pass"" directive is not allowed here";"nginx: [emerg] ""fastcgi_pass"" directive is not allowed here"
CD159;Others;Configuration;Configuration Error;Configuration Error
CD160;Others;Configuration;Configuration Error: Missing Region in Config (AWS);Configuration Error: Missing Region in Config (AWS)
CD161;Others;Configuration;"""A configuration with this name already exists"" error in eclipse run configurations";"""A configuration with this name already exists"" error in eclipse run configurations"
CD162;Others;Configuration;Why do I need to configure the SQL dialect of a data source?;Why do I need to configure the SQL dialect of a data source?
CD163;Others;Configuration;"Injection of autowired dependencies failed; nested exception is java.lang.NoClassDefFoundError: org/hibernate/cfg/Configuration";"Injection of autowired dependencies failed; nested exception is java.lang.NoClassDefFoundError: org/hibernate/cfg/Configuration"
CD164;Others;Configuration;Error Caused by: org.hibernate.HibernateException: Could not instantiate connection provider [org.connection.C3P0ConnectionProvider];Error Caused by: org.hibernate.HibernateException: Could not instantiate connection provider [org.connection.C3P0ConnectionProvider]
CD165;Others;Configuration;Config Error: This configuration section cannot be used at this path;Config Error: This configuration section cannot be used at this path
CD166;Others;Configuration;log4j log message during log4j initialization;log4j log message during log4j initialization
CD167;Others;Configuration;Log4net configuration error;Log4net configuration error
CD168;MySQL;Configuration;increase max_allowed_packet size in mysql docker;increase max_allowed_packet size in mysql docker
CD169;Nginx;Configuration;Nginx reverse proxy to Heroku fails SSL handshake;Nginx reverse proxy to Heroku fails SSL handshake
CD170;Others;Configuration;ReSharper configuration error for href;ReSharper configuration error for href
CD171;Others;Configuration;How to display auto-configuration report when running a Spring Boot application;How to display auto-configuration report when running a Spring Boot application
CD172;Others;Configuration;Turning off auto indent when pasting text into vim;Turning off auto indent when pasting text into vim
CD173;Nginx;Configuration;Nginx Installation on Ubuntu giving 500 error;Nginx Installation on Ubuntu giving 500 error
CD174;Nginx;Configuration;Nginx cannot serve with permission error;Nginx cannot serve with permission error
CD175;Others;Configuration;how to define a host with https in action_mailer.default_url_options;how to define a host with https in action_mailer.default_url_options
CD176;Others;Configuration;"What does ""resource varying by configuration"" error mean?";"What does ""resource varying by configuration"" error mean?"
CD177;Apache httpd;Configuration;"Error message ""Forbidden You don't have permission to access / on this server"" [closed]";"Error message ""Forbidden You don't have permission to access / on this server"" [closed]"
CD178;Others;Configuration;Is possible to change the default diff tool in Mercurial?;Is possible to change the default diff tool in Mercurial?
CD179;MySQL;Configuration;"How to make sql-mode=""NO_ENGINE_SUBSTITUTION"" permanent in MySQL my.cnf";"How to make sql-mode=""NO_ENGINE_SUBSTITUTION"" permanent in MySQL my.cnf"
CD180;Nginx;Configuration;"nginx 'invalid number of arguments in ""map"" directive'";"nginx 'invalid number of arguments in ""map"" directive'"
CD181;Others;Configuration;Maven Cobertura OutOfMemoryError;Maven Cobertura OutOfMemoryError
CD182;Nginx;Configuration;Nginx + Php Fpm scaling issues on AWS EC2 instance;Nginx + Php Fpm scaling issues on AWS EC2 instance
CD183;PostgreSQL;Configuration;Deal with Postgresql Error -canceling statement due to conflict with recovery- in psycopg2;Deal with Postgresql Error -canceling statement due to conflict with recovery- in psycopg2
CD184;PostgreSQL;Configuration;postgresql failing with below error on lion os x;postgresql failing with below error on lion os x
CD185;PostgreSQL;Configuration;Dump and Zip file can not resore odoo 8, how to solve it?;Dump and Zip file can not resore odoo 8, how to solve it?
CD186;PostgreSQL;Configuration;Django throws OperationalError : index row requires 35424 bytes, maximum size is 8191;Django throws OperationalError : index row requires 35424 bytes, maximum size is 8191
CD187;PostgreSQL;Configuration;Log firing of triggers in postgres 9.1;Log firing of triggers in postgres 9.1
CD188;PostgreSQL;Configuration;“root” execution of the PostgreSQL server is not permitted;“root” execution of the PostgreSQL server is not permitted
CD189;PostgreSQL;Configuration;How can I get psql to work in ubuntu from shell: $ psql -U admin -d mydb;How can I get psql to work in ubuntu from shell: $ psql -U admin -d mydb
CD190;PostgreSQL;Configuration;Got error while creating database in postgres;Got error while creating database in postgres
CD191;PostgreSQL;Configuration;PostgreSQL V12 create temp table runs out of shared memory, can I create on disk?;PostgreSQL V12 create temp table runs out of shared memory, can I create on disk?
CD192;PostgreSQL;Configuration;master-datasources.xml content always revert back to initial configuration when I start wso2server 5.9;master-datasources.xml content always revert back to initial configuration when I start wso2server 5.9
CD193;PostgreSQL;Configuration;What steps should I follow to get postgresql into development in my Rails app?;What steps should I follow to get postgresql into development in my Rails app?
CD194;PostgreSQL;Configuration;Kubernetes persistent volume mount for PgAdmin;Kubernetes persistent volume mount for PgAdmin
CD195;PostgreSQL;Configuration;Best Practice for Running Programmatic Postgres DB Migrations on Linux;Best Practice for Running Programmatic Postgres DB Migrations on Linux
CD196;PostgreSQL;Configuration;PostgreSQL and the Linux Kernel;PostgreSQL and the Linux Kernel
CD197;PostgreSQL;Configuration;Postgresql 10 and Ubuntu - Unable to postgresql server UP;Postgresql 10 and Ubuntu - Unable to postgresql server UP
CD198;PostgreSQL;Configuration;Postfix is looking for /etc/aliases.db for some reason instead of using Postgresql db;Postfix is looking for /etc/aliases.db for some reason instead of using Postgresql db
CD199;Hadoop;Configuration;high availability of spark driver;high availability of spark driver
CD200;Hadoop;Configuration;application rejected by queue placement policy;application rejected by queue placement policy
CD201;Hadoop;Configuration;Spark: Self-suppression not permitted when writing big file to HDFS;Spark: Self-suppression not permitted when writing big file to HDFS
CD202;Hadoop;Configuration;map reduce error on smoke test;map reduce error on smoke test
CD203;Hadoop;Configuration;Why AWS is rejecting my connections when I am using wholeTextFiles() with pyspark?;Why AWS is rejecting my connections when I am using wholeTextFiles() with pyspark?
CD204;Hadoop;Configuration;pig join gets OutOfMemoryError in reducer when mapred.job.shuffle.input.buffer.percent=0.70;pig join gets OutOfMemoryError in reducer when mapred.job.shuffle.input.buffer.percent=0.70
CD205;Hadoop;Configuration;could only be replicated to 0 nodes instead of minReplication (=1). There are 4 datanode(s) running and no node(s) are excluded in this operation;could only be replicated to 0 nodes instead of minReplication (=1). There are 4 datanode(s) running and no node(s) are excluded in this operation
CD206;Hadoop;Configuration;Reading Nested data from ElasticSearch via Spark Scala;Reading Nested data from ElasticSearch via Spark Scala
CD207;Apache httpd;Configuration;500 Internal Server Error when setting up Apache on localhost;500 Internal Server Error when setting up Apache on localhost
CD223;MySQL;Configuration;MySQL slow query log logging all queries;MySQL slow query log logging all queries
CD224;PHP;Configuration;Why is PHP Composer so slow?;Why is PHP Composer so slow?
CD225;Hadoop;Configuration;Kryo serialization error in Spark job;Kryo serialization error in Spark job
CD226;Nginx;Configuration;How to make nginx CORS configuration work when server returns error?;How to make nginx CORS configuration work when server returns error?
CD227;Apache httpd;Configuration;giving a 502 error when retrieving the static files;giving a 502 error when retrieving the static files
CD228;MySQL;Configuration;mysql binlog not logging;mysql binlog not logging
CD229;PHP;Configuration;How can I display and log PHP errors on IIS7?;How can I display and log PHP errors on IIS7?
CD230;PHP;Configuration;when I try to use the mail() function in oder to programmatically send emails via PHP. Then I get this error:;when I try to use the mail() function in oder to programmatically send emails via PHP. Then I get this error:
CD231;Nginx;Configuration;NginX->Varnish->PHP-FPM Blank pages，put nginx in front of Varnish failed;NginX->Varnish->PHP-FPM Blank pages，put nginx in front of Varnish failed
CD232;Nginx;Configuration;Blank Page: wordpress on nginx+php-fpm（unable to serve anything but blank pages.;Blank Page: wordpress on nginx+php-fpm（unable to serve anything but blank pages.
CD233;Apache httpd;Configuration;Apache HTTPD: “client denied by server configuration: .htaccess” Even When .htaccess is Blank;Apache HTTPD: “client denied by server configuration: .htaccess” Even When .htaccess is Blank
CD234;Apache httpd;Configuration;Apache 2.4 mutual authentication - AH01797: client denied by server configuration;Apache 2.4 mutual authentication - AH01797: client denied by server configuration
CD235;Apache httpd;Configuration;ImportError: No module named django.core.handlers.wsgi in install django mod_wsgi config on apache;ImportError: No module named django.core.handlers.wsgi in install django mod_wsgi config on apache
CD236;Apache httpd;Configuration;Popen does not work anymore with apache/wsgi and python 2.7.2?;Popen does not work anymore with apache/wsgi and python 2.7.2?
CD237;Others;Configuration;How to disable open browser in CRA?;How to disable open browser in CRA?
CD238;Others;Configuration;"Heroku push of django app gets ""No module named psycopg2.extensions""";"Heroku push of django app gets ""No module named psycopg2.extensions"""
CD239;Apache httpd;Configuration;Error on python web page;Error on python web page
CD240;Nginx;Configuration;"How to fix ""404 not found"" error on nginx configuration";"How to fix ""404 not found"" error on nginx configuration"
CD241;Apache httpd;Configuration;SSL Site Returns Bad Gateway Error in IE, Works Fine In Other Browsers;SSL Site Returns Bad Gateway Error in IE, Works Fine In Other Browsers
CD242;Apache httpd;Configuration;Cannot configure a sub-domain in Apache;Cannot configure a sub-domain in Apache
CD243;MySQL;Configuration;extreme slowness with a remote database in drupal;extreme slowness with a remote database in drupal
CD244;Apache httpd;Configuration;Client denied by server configuration on Apache 2.4;Client denied by server configuration on Apache 2.4
CD245;Hadoop;Configuration;Hadoop is not showing my job in the job tracker even though it is running;Hadoop is not showing my job in the job tracker even though it is running
CD246;Apache httpd;Configuration;Can't Get Any Browser to Prompt for A Client Certificate (Certificates on Apache);Can't Get Any Browser to Prompt for A Client Certificate (Certificates on Apache)
CD247;MySQL;Configuration;SQL mode NO_ZERO_DATE to make the wrong date number;SQL mode NO_ZERO_DATE to make the wrong date number
CD248;MySQL;Configuration; Increase innodb_buffer_pool_size performance may suffer if you keep the cache size the same.; Increase innodb_buffer_pool_size performance may suffer if you keep the cache size the same.
CD249;MySQL;Configuration;wrong storage engine;wrong storage engine
CD250;Others;Configuration;remove dependency and  add two configs in properties;remove dependency and  add two configs in properties
CD251;Others;Configuration; initial configuration with username and password has a few errors; initial configuration with username and password has a few errors
CD252;MySQL;Configuration;innodb_buffer_pool_size should be about 70% of available RAM to improve performance;innodb_buffer_pool_size should be about 70% of available RAM to improve performance
CD253;MySQL;Configuration;wrong storage engine, default value;wrong storage engine, default value
CD254;MySQL;Configuration; value has to be set at startup; value has to be set at startup
CD255;MySQL;Configuration;too many connections error, SetMaxOpenConns SetMaxIdleConns;too many connections error, SetMaxOpenConns SetMaxIdleConns
CD256;MySQL;Configuration; the environment variable UPLOAD_LIMIT to your desired limit.; the environment variable UPLOAD_LIMIT to your desired limit.
CD257;PHP;Configuration;add an options array with the path to your certificate;add an options array with the path to your certificate
CD258;MySQL;Configuration;slowly and gradually the RAM is occupied;slowly and gradually the RAM is occupied
CD259;MySQL;Configuration;change the max index size;change the max index size
CD260;MySQL;Configuration;allows the client to read the file content on the computer where the client runs  secure-file-privLOAD DATA LOCAL INFILE;allows the client to read the file content on the computer where the client runs  secure-file-privLOAD DATA LOCAL INFILE
CD261;MySQL;Configuration;max_allowed_packet net_read_timeout lost connection;max_allowed_packet net_read_timeout lost connection
CD262;MySQL;Configuration;change mysql case sensitivity setting. make it case insensitive.;change mysql case sensitivity setting. make it case insensitive.
CD263;MySQL;Configuration;"add  a config testWhileIdle=""true""";"add  a config testWhileIdle=""true"""
CD264;PHP;Configuration;throw' => true has to be true for debugging;throw' => true has to be true for debugging
CD265;PHP;Configuration;disabling php's garbage collector (by setting to gc_probability0);disabling php's garbage collector (by setting to gc_probability0)
CD266;PHP;Configuration;change the maximum upload file size;change the maximum upload file size
CD267;PHP;Configuration;You need to also list in the debug mode value:develop;You need to also list in the debug mode value:develop
CD268;PHP;Configuration;set allow_url_fopen=1;set allow_url_fopen=1
CD269;PHP;Configuration; added the PHP path to environment variables; added the PHP path to environment variables
CD270;PHP;Configuration;PHP memory limit;PHP memory limit
CD271;PHP;Configuration;set a list of directories to skip in the PHP configuration of ownCloud;set a list of directories to skip in the PHP configuration of ownCloud
CD272;Nginx;Configuration;increase file upload size;increase file upload size
CD273;PHP;Configuration;all the post data in the form are limited;all the post data in the form are limited
CD274;Apache httpd;Configuration;"turn off ""ProxyPreserveHost"" in section";"turn off ""ProxyPreserveHost"" in section"
CD275;Nginx;Configuration;Missing proxy_read_timeout 86400;Missing proxy_read_timeout 86400
CD276;Nginx;Configuration;port ranging from 0-1023 as it is intended for system use. Hence updated the answer to allow ports from 1025:65535;port ranging from 0-1023 as it is intended for system use. Hence updated the answer to allow ports from 1025:65535
CD277;Nginx;Configuration;https HTTP_PROXY_NAME=foo.org HTTP_SCHEME=https;https HTTP_PROXY_NAME=foo.org HTTP_SCHEME=https
CD278;Nginx;Configuration;"missing config proxy_set_header Host $http_host;";"missing config proxy_set_header Host $http_host;"
CD279;Nginx;Configuration;"wrong config for try_files $uri $uri/ =404;      ";"wrong config for try_files $uri $uri/ =404;      "
CD280;Nginx;Configuration;increase ingress resource:  increase the body size of files;increase ingress resource:  increase the body size of files
CD281;PHP;Configuration;two differernt version of PHP listen to one port;two differernt version of PHP listen to one port
CD282;Nginx;Configuration;parameter list lost some pages;parameter list lost some pages
CD283;Nginx;Configuration;file too big make the cpu wait;file too big make the cpu wait
CD284;MySQL;Configuration;MySQL version 5 or 8.0 and later. And your server is configured to use the protocol of TLS 1.2.;MySQL version 5 or 8.0 and later. And your server is configured to use the protocol of TLS 1.2.
CD285;Nginx;Configuration;out of memory;out of memory
CD286;Nginx;Configuration;"a separate must be there to handle ""normal"" HTTP requests";"a separate must be there to handle ""normal"" HTTP requests"
CD287;Nginx;Configuration;"proxy_set_header Connection $http_connection;";"proxy_set_header Connection $http_connection;"
CD288;Nginx;Configuration;utilise proxy_next_upstream and require request;utilise proxy_next_upstream and require request
CD289;Nginx;Configuration;modifying keys_zone to larger value cache size;modifying keys_zone to larger value cache size
CD290;Nginx;Configuration;server block not active;server block not active
CD291;Nginx;Configuration;redirect;redirect
CD292;Nginx;Configuration;disable .autoindex on to prevent people see files;disable .autoindex on to prevent people see files
CD293;PostgreSQL;Configuration;set the statement_timeout to kill the long running queries;set the statement_timeout to kill the long running queries
CD294;PostgreSQL;Configuration;compress file;compress file
CD295;PostgreSQL;Configuration;waiting time connectionTimeoutMillis;waiting time connectionTimeoutMillis
CD296;PostgreSQL;Configuration;func;func
CD297;PostgreSQL;Configuration;set max_parallel_workers_per_gather=0  to 27 minutes from ~3 hour;set max_parallel_workers_per_gather=0  to 27 minutes from ~3 hour
CD298;PHP;Configuration;conflict config about php version;conflict config about php version
CD299;MySQL;Configuration;'Persist Value' set for max_allowed_packet.;'Persist Value' set for max_allowed_packet.
CD300;PHP;Configuration;different version conflict configs;different version conflict configs
CD301;Apache httpd;Configuration;applications with OAuth2 login are exposed to CSRF attacks, so it's a big mistake to disable CSRF protection);applications with OAuth2 login are exposed to CSRF attacks, so it's a big mistake to disable CSRF protection)
